,Gesture,Handedness,Landmarks
0,Open,Right,"[(0.4222929775714874, 0.3584248125553131, 2.432221322123951e-07), (0.4519732594490051, 0.3482840955257416, -0.01541724894195795), (0.4783746898174286, 0.3253304064273834, -0.0238336268812418), (0.5006098747253418, 0.3076017200946808, -0.031188221648335457), (0.5223125219345093, 0.3013876974582672, -0.03874410316348076), (0.4649597108364105, 0.26942381262779236, -0.016603242605924606), (0.47777265310287476, 0.231827974319458, -0.027303677052259445), (0.48477157950401306, 0.20720896124839783, -0.03591519221663475), (0.4899807572364807, 0.18424424529075623, -0.042357467114925385), (0.4458281993865967, 0.25931766629219055, -0.017246780917048454), (0.4547542929649353, 0.21410763263702393, -0.02623937837779522), (0.4601329565048218, 0.18527323007583618, -0.033596646040678024), (0.46451953053474426, 0.1590927541255951, -0.039159055799245834), (0.42564353346824646, 0.2601788640022278, -0.01960883103311062), (0.4302605390548706, 0.21668706834316254, -0.02923872508108616), (0.43318164348602295, 0.1882823407649994, -0.036340512335300446), (0.43625253438949585, 0.16240166127681732, -0.041234053671360016), (0.40484464168548584, 0.2695871889591217, -0.023348279297351837), (0.39817020297050476, 0.2370302379131317, -0.03287802264094353), (0.3937181830406189, 0.21512804925441742, -0.03746004030108452), (0.3909740746021271, 0.19314691424369812, -0.04031185433268547)]"
1,Open,Right,"[(0.41569647192955017, 0.361287385225296, 2.1709580266815465e-07), (0.44341668486595154, 0.3470950424671173, -0.014957222156226635), (0.4648171663284302, 0.31890711188316345, -0.022362910211086273), (0.4840530455112457, 0.2942025363445282, -0.028737327083945274), (0.5049328207969666, 0.2838500142097473, -0.03520219027996063), (0.45030122995376587, 0.2632300555706024, -0.014266758225858212), (0.4576210379600525, 0.22331716120243073, -0.023803643882274628), (0.46007418632507324, 0.1974543035030365, -0.03176169469952583), (0.4611761271953583, 0.17355048656463623, -0.037902601063251495), (0.4305042028427124, 0.2548390030860901, -0.014605176635086536), (0.4347061216831207, 0.20850302278995514, -0.0225148294121027), (0.43693089485168457, 0.17919236421585083, -0.02927740477025509), (0.4384216368198395, 0.15247666835784912, -0.034422993659973145), (0.4102516174316406, 0.2574359178543091, -0.016705352813005447), (0.4108201563358307, 0.21361008286476135, -0.025037050247192383), (0.411257266998291, 0.18605315685272217, -0.031238336116075516), (0.4117910861968994, 0.16132071614265442, -0.0355851911008358), (0.38992878794670105, 0.2690054774284363, -0.020277533680200577), (0.38190653920173645, 0.23714999854564667, -0.02878635749220848), (0.37611985206604004, 0.21646426618099213, -0.032839372754096985), (0.3714202642440796, 0.1958998441696167, -0.03524010255932808)]"
2,Open,Right,"[(0.4125528335571289, 0.36057278513908386, 2.1937140104455466e-07), (0.4401087760925293, 0.3429017663002014, -0.015065443702042103), (0.45931145548820496, 0.310029000043869, -0.02215750329196453), (0.4757227301597595, 0.2822105288505554, -0.0281808003783226), (0.49601152539253235, 0.2699044644832611, -0.03409310057759285), (0.44254598021507263, 0.2548266351222992, -0.012813244014978409), (0.448038250207901, 0.21464726328849792, -0.021749353036284447), (0.4492497444152832, 0.18813765048980713, -0.029565200209617615), (0.4489630460739136, 0.16418510675430298, -0.03571479022502899), (0.4227279722690582, 0.24864384531974792, -0.012790584936738014), (0.4257301390171051, 0.2021445631980896, -0.02019781619310379), (0.42581862211227417, 0.17232567071914673, -0.02670828066766262), (0.4251371920108795, 0.1462205946445465, -0.03169291466474533), (0.4030925929546356, 0.25318700075149536, -0.014631266705691814), (0.4015318751335144, 0.20936428010463715, -0.022443139925599098), (0.4001882076263428, 0.18189746141433716, -0.028543775901198387), (0.39920133352279663, 0.15798848867416382, -0.032890137284994125), (0.3833637833595276, 0.26667508482933044, -0.018015356734395027), (0.37271058559417725, 0.2359708845615387, -0.0258872602134943), (0.3653396666049957, 0.21543113887310028, -0.02975403517484665), (0.3591688871383667, 0.19535808265209198, -0.032216425985097885)]"
3,Open,Right,"[(0.4128866195678711, 0.35981374979019165, 2.309537165956499e-07), (0.44019949436187744, 0.3392556309700012, -0.015220907516777515), (0.45721909403800964, 0.3026755154132843, -0.021476196125149727), (0.4718483090400696, 0.2692170739173889, -0.02651946246623993), (0.49121803045272827, 0.2519415020942688, -0.031083673238754272), (0.4361683130264282, 0.24634602665901184, -0.009396106004714966), (0.43998661637306213, 0.20418420433998108, -0.016758479177951813), (0.4400957524776459, 0.17718353867530823, -0.02388840913772583), (0.4389083683490753, 0.15349969267845154, -0.029479848220944405), (0.41595518589019775, 0.24266879260540009, -0.00843057781457901), (0.4170841872692108, 0.19495832920074463, -0.013802479952573776), (0.41618889570236206, 0.16506460309028625, -0.019561326131224632), (0.4146421551704407, 0.13954631984233856, -0.024062128737568855), (0.3967783749103546, 0.24936024844646454, -0.009494105353951454), (0.39376726746559143, 0.20646047592163086, -0.015106712467968464), (0.3914848566055298, 0.17938078939914703, -0.020306440070271492), (0.3897044062614441, 0.15610799193382263, -0.02425982430577278), (0.3779159188270569, 0.2647586464881897, -0.012269079685211182), (0.366949200630188, 0.23611195385456085, -0.017991503700613976), (0.3595297932624817, 0.21645420789718628, -0.020757392048835754), (0.35361748933792114, 0.19725778698921204, -0.022578740492463112)]"
4,Open,Right,"[(0.41180965304374695, 0.35149121284484863, 2.5572364847903373e-07), (0.43997785449028015, 0.33048081398010254, -0.015034690499305725), (0.4587163031101227, 0.29289451241493225, -0.021291939541697502), (0.47634363174438477, 0.2612132132053375, -0.026657018810510635), (0.4974510967731476, 0.24626490473747253, -0.03178838640451431), (0.4363255798816681, 0.2388737052679062, -0.008312010206282139), (0.44208136200904846, 0.1962408423423767, -0.015222149901092052), (0.4431556463241577, 0.16858568787574768, -0.022138327360153198), (0.44283753633499146, 0.14502128958702087, -0.027702992781996727), (0.4158783555030823, 0.23582199215888977, -0.007587085012346506), (0.4168117046356201, 0.18831874430179596, -0.012741470709443092), (0.4156778156757355, 0.15808288753032684, -0.018737325444817543), (0.4140245020389557, 0.1328555941581726, -0.023492444306612015), (0.39642468094825745, 0.2425704449415207, -0.0089316600933671), (0.3936785161495209, 0.19890762865543365, -0.014519767835736275), (0.3916997015476227, 0.17200444638729095, -0.019882723689079285), (0.3902040123939514, 0.14885571599006653, -0.024000057950615883), (0.37738001346588135, 0.2580341696739197, -0.012007582932710648), (0.366604208946228, 0.23016808927059174, -0.01797436736524105), (0.35914406180381775, 0.21076704561710358, -0.020970366895198822), (0.353244811296463, 0.19168683886528015, -0.022969858720898628)]"
5,Open,Right,"[(0.4141770303249359, 0.3442426025867462, 2.6076702397404006e-07), (0.4432888627052307, 0.32197660207748413, -0.013294557109475136), (0.4629240036010742, 0.28267091512680054, -0.018100526183843613), (0.48064884543418884, 0.2514280676841736, -0.02226831577718258), (0.5011724829673767, 0.23759351670742035, -0.02628604881465435), (0.4378395080566406, 0.23037025332450867, -0.005657017696648836), (0.4435596466064453, 0.1876726746559143, -0.011554750613868237), (0.4447382390499115, 0.16008877754211426, -0.017969707027077675), (0.4446537494659424, 0.1365637630224228, -0.0232179407030344), (0.4171804189682007, 0.22791722416877747, -0.005437117535620928), (0.4177168309688568, 0.18063560128211975, -0.009910029359161854), (0.4167191684246063, 0.15063554048538208, -0.015972932800650597), (0.415235310792923, 0.1255597472190857, -0.020793801173567772), (0.39769476652145386, 0.23486526310443878, -0.00717094074934721), (0.3947267234325409, 0.19157922267913818, -0.012399506755173206), (0.39274269342422485, 0.16458888351917267, -0.01813020557165146), (0.39128103852272034, 0.14120638370513916, -0.022475717589259148), (0.3785766065120697, 0.25025397539138794, -0.010447843931615353), (0.36766913533210754, 0.2220901995897293, -0.0160846970975399), (0.36055442690849304, 0.20256854593753815, -0.01909956894814968), (0.35533085465431213, 0.18315285444259644, -0.021129995584487915)]"
6,Open,Right,"[(0.4149506986141205, 0.3515946567058563, 2.089026907015068e-07), (0.4446471929550171, 0.32960274815559387, -0.012520179152488708), (0.46529272198677063, 0.29195088148117065, -0.01720879040658474), (0.4831719398498535, 0.2614467740058899, -0.021447835490107536), (0.5018583536148071, 0.2467745542526245, -0.02568078599870205), (0.4397231638431549, 0.23853148519992828, -0.0063486481085419655), (0.4453398585319519, 0.19606801867485046, -0.013219515793025494), (0.4472882151603699, 0.1697118878364563, -0.020342838019132614), (0.4478974938392639, 0.1468704789876938, -0.02589903213083744), (0.4185402989387512, 0.23552852869033813, -0.006937360391020775), (0.4180756211280823, 0.1878722608089447, -0.01199236512184143), (0.41702157258987427, 0.15869727730751038, -0.018356265500187874), (0.41555553674697876, 0.13457179069519043, -0.02340778149664402), (0.3987025320529938, 0.24225682020187378, -0.009379792027175426), (0.3961414098739624, 0.19819143414497375, -0.014930928125977516), (0.39453834295272827, 0.17125573754310608, -0.020542247220873833), (0.3936176598072052, 0.14867785573005676, -0.024857044219970703), (0.3796750009059906, 0.25791341066360474, -0.013288768008351326), (0.36843395233154297, 0.22868582606315613, -0.018799111247062683), (0.36151444911956787, 0.20920684933662415, -0.021200796589255333), (0.35675811767578125, 0.19073858857154846, -0.022827960550785065)]"
7,Open,Right,"[(0.4179766774177551, 0.3438071012496948, 2.314424278893057e-07), (0.44712385535240173, 0.32249200344085693, -0.011889265850186348), (0.46879541873931885, 0.28506597876548767, -0.0164665374904871), (0.4868357181549072, 0.25583627820014954, -0.020634574815630913), (0.5056761503219604, 0.24108392000198364, -0.024783199653029442), (0.44442039728164673, 0.23259136080741882, -0.006328380201011896), (0.4505471885204315, 0.19015014171600342, -0.013078620657324791), (0.4526204466819763, 0.16331535577774048, -0.019592490047216415), (0.453605979681015, 0.14040610194206238, -0.024709193035960197), (0.424716055393219, 0.2293984591960907, -0.006981397047638893), (0.4266001880168915, 0.18246471881866455, -0.012570739723742008), (0.4272693991661072, 0.1522825062274933, -0.018946699798107147), (0.4273925721645355, 0.126627117395401, -0.023916272446513176), (0.4056640863418579, 0.23523429036140442, -0.0094170356169343), (0.4042668640613556, 0.1902238428592682, -0.015740327537059784), (0.40387481451034546, 0.1628185361623764, -0.021826038137078285), (0.4040062427520752, 0.1394955962896347, -0.026253104209899902), (0.3868629038333893, 0.2491924911737442, -0.013188888318836689), (0.3767520785331726, 0.21924591064453125, -0.020139440894126892), (0.37006840109825134, 0.19850146770477295, -0.023887956514954567), (0.36488863825798035, 0.1783939152956009, -0.02624124474823475)]"
8,Open,Right,"[(0.4179198741912842, 0.3408643901348114, 2.2649375353012147e-07), (0.44919928908348083, 0.32277536392211914, -0.011166611686348915), (0.4721674919128418, 0.28774479031562805, -0.014802693389356136), (0.49032482504844666, 0.26071491837501526, -0.018271367996931076), (0.5085720419883728, 0.24839164316654205, -0.021679583936929703), (0.449583500623703, 0.2327086627483368, -0.0032857321202754974), (0.4573180675506592, 0.19104106724262238, -0.008751464076340199), (0.4607495963573456, 0.16591763496398926, -0.014667145907878876), (0.4630475640296936, 0.14461001753807068, -0.019404470920562744), (0.42999154329299927, 0.22849558293819427, -0.004053529817610979), (0.4331911504268646, 0.1812436580657959, -0.008350850082933903), (0.43476197123527527, 0.1515982747077942, -0.014243992045521736), (0.4358297288417816, 0.1270955204963684, -0.018886854872107506), (0.41090285778045654, 0.23381169140338898, -0.00678089028224349), (0.41016486287117004, 0.18980145454406738, -0.01216509472578764), (0.4108339548110962, 0.16238847374916077, -0.0183629859238863), (0.4117029309272766, 0.13946756720542908, -0.022939326241612434), (0.39172711968421936, 0.2471742182970047, -0.01084312703460455), (0.38352498412132263, 0.21717986464500427, -0.01708315871655941), (0.37744975090026855, 0.19589763879776, -0.02076340653002262), (0.37254852056503296, 0.17545980215072632, -0.023218505084514618)]"
9,Open,Right,"[(0.4183415472507477, 0.3437359631061554, 2.1003654637752334e-07), (0.450291246175766, 0.3273990750312805, -0.011063707061111927), (0.47483840584754944, 0.29126399755477905, -0.014760451391339302), (0.4956778585910797, 0.2662237286567688, -0.018338393419981003), (0.5146147012710571, 0.2576391100883484, -0.02199576236307621), (0.4562876224517822, 0.2360830456018448, -0.00509220827370882), (0.4664674699306488, 0.19508260488510132, -0.011088195256888866), (0.47120463848114014, 0.170019268989563, -0.01730441115796566), (0.47432178258895874, 0.14876851439476013, -0.02228347584605217), (0.4368272125720978, 0.23023207485675812, -0.006216050125658512), (0.4421558380126953, 0.1832975447177887, -0.010741165839135647), (0.44475269317626953, 0.1539652943611145, -0.016395865008234978), (0.44601964950561523, 0.12968021631240845, -0.020936215296387672), (0.41778892278671265, 0.23410627245903015, -0.00919588003307581), (0.41927194595336914, 0.1905212551355362, -0.014459678903222084), (0.4210261106491089, 0.16235403716564178, -0.0203054528683424), (0.42227527499198914, 0.1386563628911972, -0.024787483736872673), (0.3982895016670227, 0.2467694878578186, -0.013546589761972427), (0.39079558849334717, 0.21627049148082733, -0.019456414505839348), (0.38571789860725403, 0.19449567794799805, -0.022705601528286934), (0.3815799355506897, 0.17424434423446655, -0.02499118633568287)]"
