,Gesture,Handedness,Landmarks
0,Nothing,Left,"[(0.3582494854927063, 0.8611122965812683, 3.7240805994542825e-09), (0.3511520028114319, 0.897964358329773, 0.003353118197992444), (0.36123183369636536, 0.9296581745147705, 0.005014485213905573), (0.37832000851631165, 0.9448425769805908, 0.005823568906635046), (0.39360424876213074, 0.9483949542045593, 0.005893490742892027), (0.37161746621131897, 0.947175145149231, -0.001752094947732985), (0.37872010469436646, 0.9774295687675476, -0.005329828709363937), (0.38277775049209595, 0.9994503259658813, -0.007219833321869373), (0.38536491990089417, 1.0135148763656616, -0.008910748176276684), (0.38853463530540466, 0.9412030577659607, -0.005222004372626543), (0.41521531343460083, 0.9681957364082336, -0.009603546932339668), (0.42261555790901184, 0.9639288783073425, -0.00873502530157566), (0.421667218208313, 0.9562119841575623, -0.007426634430885315), (0.40283462405204773, 0.9257497787475586, -0.008466663770377636), (0.4282000660896301, 0.9558532238006592, -0.014232929795980453), (0.43389150500297546, 0.9507644176483154, -0.01290079765021801), (0.43216127157211304, 0.942643404006958, -0.01102113351225853), (0.4124508202075958, 0.9046560525894165, -0.01115784328430891), (0.4349985122680664, 0.9224152565002441, -0.020339669659733772), (0.4507865905761719, 0.934076189994812, -0.02402803674340248), (0.4612392783164978, 0.9423431158065796, -0.025085223838686943)]"
1,Nothing,Right,"[(0.3623502552509308, 0.8769629001617432, 3.2694330798221927e-08), (0.3878312110900879, 0.8648630380630493, -0.005564231425523758), (0.4115946292877197, 0.8650553226470947, -0.011846763081848621), (0.42592713236808777, 0.8663031458854675, -0.01821306347846985), (0.4341799318790436, 0.8654808402061462, -0.025047823786735535), (0.4254540205001831, 0.9122082591056824, -0.010821789503097534), (0.4512465000152588, 0.9302173256874084, -0.018948936834931374), (0.4674324095249176, 0.9430603981018066, -0.0252056997269392), (0.47869420051574707, 0.9527648091316223, -0.029369251802563667), (0.41644513607025146, 0.9375820159912109, -0.012290941551327705), (0.44249552488327026, 0.9639506340026855, -0.0187875647097826), (0.4463958442211151, 0.967196524143219, -0.021007435396313667), (0.44361716508865356, 0.9639274477958679, -0.021667707711458206), (0.402243435382843, 0.954154372215271, -0.014176428318023682), (0.4249478578567505, 0.9837939739227295, -0.01906495727598667), (0.4296475648880005, 0.9897528886795044, -0.018481457605957985), (0.42885804176330566, 0.9905440807342529, -0.017229637131094933), (0.38518714904785156, 0.9641657471656799, -0.01659618504345417), (0.39312654733657837, 0.9940534234046936, -0.02048582024872303), (0.39810821413993835, 1.0102897882461548, -0.019782496616244316), (0.40096595883369446, 1.021464228630066, -0.018203776329755783)]"
2,Nothing,Right,"[(0.36142513155937195, 0.8628315925598145, -9.667912692634673e-09), (0.3835409879684448, 0.8569928407669067, -0.0026232758536934853), (0.40632253885269165, 0.8580624461174011, -0.006922866217792034), (0.42020928859710693, 0.8541378378868103, -0.011504036374390125), (0.42669677734375, 0.8457702398300171, -0.01662423647940159), (0.42201414704322815, 0.9024547934532166, -0.006686681415885687), (0.44632917642593384, 0.9200769066810608, -0.012252746149897575), (0.46094101667404175, 0.9310763478279114, -0.01677446998655796), (0.47212088108062744, 0.9378503561019897, -0.02017282135784626), (0.4131806492805481, 0.92591392993927, -0.009124386124312878), (0.43714776635169983, 0.9467036128044128, -0.01569613814353943), (0.43655094504356384, 0.94288170337677, -0.018111560493707657), (0.42995524406433105, 0.9339176416397095, -0.018462123349308968), (0.39858245849609375, 0.9430185556411743, -0.011679318733513355), (0.4207383096218109, 0.9685934782028198, -0.016785943880677223), (0.4242517054080963, 0.9663313627243042, -0.01679074391722679), (0.42218613624572754, 0.9594642519950867, -0.01567389816045761), (0.38044726848602295, 0.9540185332298279, -0.01437744777649641), (0.38671576976776123, 0.985214352607727, -0.0185773354023695), (0.39265069365501404, 1.0007458925247192, -0.019329583272337914), (0.3963572084903717, 1.0112131834030151, -0.01888633333146572)]"
3,Nothing,Right,"[(0.36829569935798645, 0.8749057054519653, 9.194824457381401e-08), (0.3929253816604614, 0.8662047982215881, -0.004525990691035986), (0.41226303577423096, 0.8643973469734192, -0.011856311932206154), (0.4216759204864502, 0.8575879335403442, -0.01936344988644123), (0.424129456281662, 0.846697211265564, -0.027206260710954666), (0.4278542101383209, 0.9107369780540466, -0.013094424270093441), (0.45635777711868286, 0.9236311316490173, -0.023380864411592484), (0.4748895466327667, 0.9337236285209656, -0.030532633885741234), (0.4870927631855011, 0.9408213496208191, -0.03474917635321617), (0.4185706675052643, 0.9343308210372925, -0.015836350619792938), (0.44773074984550476, 0.9591097831726074, -0.024945080280303955), (0.45260244607925415, 0.9576773643493652, -0.026978634297847748), (0.4485073983669281, 0.9467313289642334, -0.026027757674455643), (0.40471792221069336, 0.9507415890693665, -0.018877167254686356), (0.4322512447834015, 0.9777429103851318, -0.02487730048596859), (0.43856504559516907, 0.977336585521698, -0.022974297404289246), (0.4370715618133545, 0.9684475660324097, -0.019624222069978714), (0.38828063011169434, 0.961024820804596, -0.022491073235869408), (0.4002647399902344, 0.9931908249855042, -0.027757553383708), (0.4082143008708954, 1.0074795484542847, -0.02741239219903946), (0.41210654377937317, 1.014101266860962, -0.025183208286762238)]"
4,Nothing,Right,"[(0.33658599853515625, 0.6297626495361328, -1.1926509557724785e-07), (0.3299911320209503, 0.609255850315094, -0.02056202106177807), (0.32114458084106445, 0.5944397449493408, -0.033635832369327545), (0.32071468234062195, 0.5873572826385498, -0.04505667835474014), (0.3249073922634125, 0.5882495045661926, -0.056916091591119766), (0.28715217113494873, 0.6406518220901489, -0.028750644996762276), (0.2885269820690155, 0.6537906527519226, -0.0468066968023777), (0.29891058802604675, 0.6594573259353638, -0.06006905809044838), (0.31258657574653625, 0.660317599773407, -0.06737340986728668), (0.2929496765136719, 0.6714209318161011, -0.026223452761769295), (0.3097250163555145, 0.6939816474914551, -0.04214666038751602), (0.3268507421016693, 0.6983529329299927, -0.05222880095243454), (0.34227272868156433, 0.696550726890564, -0.05772818252444267), (0.3045920729637146, 0.6914066076278687, -0.025129901245236397), (0.32739678025245667, 0.7075187563896179, -0.03955470770597458), (0.3423735797405243, 0.7040983438491821, -0.04472571983933449), (0.35296493768692017, 0.6960371136665344, -0.046023692935705185), (0.3193691372871399, 0.7017200589179993, -0.02591513842344284), (0.33983227610588074, 0.7144044041633606, -0.03668022155761719), (0.35169684886932373, 0.7082899212837219, -0.03809744119644165), (0.35821330547332764, 0.6980438232421875, -0.037036776542663574)]"
5,Nothing,Right,"[(0.3881795406341553, 0.6433144807815552, -1.6884740716704982e-07), (0.3766840696334839, 0.6237925887107849, -0.02181977406144142), (0.3643413484096527, 0.6224283576011658, -0.03370966762304306), (0.3597642183303833, 0.6388328671455383, -0.042529888451099396), (0.3608180284500122, 0.6600065231323242, -0.05075088143348694), (0.3408190906047821, 0.6783480644226074, -0.02404763177037239), (0.3413105905056, 0.7045515179634094, -0.03906973451375961), (0.35663917660713196, 0.7009139657020569, -0.048628658056259155), (0.3691914677619934, 0.6924861073493958, -0.05311822146177292), (0.342825710773468, 0.6908966898918152, -0.01874455437064171), (0.3449591398239136, 0.7127717137336731, -0.03328348696231842), (0.3621991276741028, 0.7057698369026184, -0.04032231494784355), (0.37628352642059326, 0.6959446668624878, -0.042716506868600845), (0.34667453169822693, 0.6967006921768188, -0.01547818724066019), (0.35052210092544556, 0.7142863869667053, -0.028901608660817146), (0.3664712607860565, 0.707609236240387, -0.031503062695264816), (0.3775584399700165, 0.698466420173645, -0.030745528638362885), (0.3526759743690491, 0.6972625255584717, -0.013833983801305294), (0.35703954100608826, 0.7110238671302795, -0.023194624111056328), (0.36989250779151917, 0.7034473419189453, -0.0235236044973135), (0.3786134719848633, 0.6917293667793274, -0.021665193140506744)]"
6,Nothing,Right,"[(0.7966195940971375, 0.6516904234886169, -3.2848589626155444e-08), (0.8231863975524902, 0.6398694515228271, -0.023181205615401268), (0.8425005674362183, 0.636154055595398, -0.043241553008556366), (0.8449987769126892, 0.6357845664024353, -0.06002621352672577), (0.8403269648551941, 0.6451950669288635, -0.07669077813625336), (0.8289568424224854, 0.6862446665763855, -0.0498974546790123), (0.8422347903251648, 0.725003719329834, -0.06923682987689972), (0.8385488390922546, 0.7206903100013733, -0.078048475086689), (0.830089271068573, 0.7060386538505554, -0.08181679993867874), (0.8045123219490051, 0.702971339225769, -0.045072972774505615), (0.8180796504020691, 0.7425275444984436, -0.06013163924217224), (0.8150068521499634, 0.7275350689888, -0.0633101612329483), (0.8089044094085693, 0.7036730647087097, -0.06479524075984955), (0.7848183512687683, 0.7105761766433716, -0.04055607691407204), (0.7993611693382263, 0.7498859167098999, -0.05298968777060509), (0.7989857792854309, 0.7334628701210022, -0.05236688256263733), (0.7951347827911377, 0.7113366723060608, -0.05093440040946007), (0.7691651582717896, 0.712220311164856, -0.037383802235126495), (0.7806254625320435, 0.7458146810531616, -0.04762224853038788), (0.7828882932662964, 0.7340063452720642, -0.04670564457774162), (0.7814003229141235, 0.7145998477935791, -0.044404998421669006)]"
7,Nothing,Right,"[(0.4004863500595093, 0.6343730688095093, 8.990750188786478e-08), (0.3848622143268585, 0.6126912236213684, -0.019578348845243454), (0.36713290214538574, 0.6044156551361084, -0.0303870290517807), (0.352800577878952, 0.6002671122550964, -0.03893498331308365), (0.343136191368103, 0.5963793992996216, -0.0475822314620018), (0.3520943820476532, 0.6585478186607361, -0.02057238668203354), (0.3420153558254242, 0.6788226366043091, -0.032498180866241455), (0.34351325035095215, 0.6873686909675598, -0.042060598731040955), (0.3484622836112976, 0.6872704029083252, -0.04787589982151985), (0.36522847414016724, 0.6739349961280823, -0.015871481969952583), (0.3602336049079895, 0.6960946321487427, -0.024984238669276237), (0.3618015646934509, 0.7003617286682129, -0.03145255148410797), (0.36463770270347595, 0.6950402855873108, -0.03607134521007538), (0.3808896839618683, 0.6802434921264648, -0.013130315579473972), (0.3763808012008667, 0.6988663077354431, -0.022328631952404976), (0.3777390718460083, 0.7026526927947998, -0.026644041761755943), (0.38056281208992004, 0.6975343823432922, -0.02904997393488884), (0.3960791826248169, 0.6791523098945618, -0.011942395009100437), (0.3953850269317627, 0.6925925612449646, -0.0198837760835886), (0.3971961736679077, 0.693947970867157, -0.022460123524069786), (0.3993907868862152, 0.6888428926467896, -0.023459454998373985)]"
8,Nothing,Left,"[(0.7733030319213867, 0.6443802714347839, 1.1693370538523595e-07), (0.7936819791793823, 0.6292636394500732, -0.028201187029480934), (0.8155898451805115, 0.6285845637321472, -0.04641338065266609), (0.8247606754302979, 0.6326577663421631, -0.06136723980307579), (0.8269383907318115, 0.6443945169448853, -0.07521959394216537), (0.8200730085372925, 0.7115400433540344, -0.033780939877033234), (0.8154061436653137, 0.7441200613975525, -0.05470670759677887), (0.7953165173530579, 0.7385925650596619, -0.07007768750190735), (0.779107928276062, 0.7238523364067078, -0.0780247151851654), (0.8013997077941895, 0.7215508222579956, -0.02810669131577015), (0.7896263599395752, 0.7514228820800781, -0.04860537871718407), (0.7703542113304138, 0.7390446662902832, -0.06118745356798172), (0.7589038610458374, 0.7190401554107666, -0.0669441968202591), (0.7833517789840698, 0.7235429883003235, -0.024936016649007797), (0.7710228562355042, 0.7481873631477356, -0.044582877308130264), (0.7560967206954956, 0.7304435968399048, -0.05124026536941528), (0.7477865815162659, 0.707100510597229, -0.05171950161457062), (0.7673689723014832, 0.7188575267791748, -0.023773301392793655), (0.7568725943565369, 0.7369192838668823, -0.04059474170207977), (0.747204065322876, 0.7222909927368164, -0.04456252232193947), (0.7425326704978943, 0.7022961378097534, -0.04372606426477432)]"
9,Nothing,Right,"[(0.4115905165672302, 0.6177195906639099, 2.5888400756457486e-08), (0.3947467505931854, 0.6027148365974426, -0.023616578429937363), (0.37148329615592957, 0.6044191122055054, -0.03500688821077347), (0.35459375381469727, 0.6160843968391418, -0.043673161417245865), (0.3374480605125427, 0.6265596151351929, -0.052421268075704575), (0.36367127299308777, 0.6718592047691345, -0.02358040027320385), (0.34962812066078186, 0.7009177207946777, -0.04186894744634628), (0.3565439283847809, 0.7080305814743042, -0.0545131154358387), (0.3683566749095917, 0.7055294513702393, -0.06020227074623108), (0.3793555796146393, 0.6847084164619446, -0.019154323264956474), (0.3715008497238159, 0.7207149267196655, -0.03815550357103348), (0.3855282962322235, 0.7246400117874146, -0.04897415265440941), (0.39998456835746765, 0.7159308791160583, -0.05214519053697586), (0.39527663588523865, 0.6863236427307129, -0.017000455409288406), (0.39953285455703735, 0.70748370885849, -0.03721465542912483), (0.41601353883743286, 0.7000861763954163, -0.043494854122400284), (0.4277585744857788, 0.6847658157348633, -0.042463917285203934), (0.412197470664978, 0.6805465817451477, -0.016370607540011406), (0.4188009798526764, 0.6914235353469849, -0.03226115182042122), (0.4309234321117401, 0.6803915500640869, -0.03464864194393158), (0.44007670879364014, 0.6633238196372986, -0.03234995901584625)]"
